Company Name	Employee Count	Region Served
Interplay Entertainment	29313	Japan
Interstate Batteries	31356	Australia
Intuit	11271	Europe
ION Media Networks	11574	Japan
iRobot	12166	Japan, India, China
Iron Mountain	22087	USA, India, Europe
i-flex Solutions	11612	USA, Japan
Jack in the Box	5825	Europe
Jarden	30158	China
JCPenney	17034	Europe
JetBlue Airways	25824	Japan
Jimmy John's	25732	USA, Australia, China
JL Audio	26030	Japan
JN-International Medical Corporation	9549	USA
Jones Soda Co.	24144	Japan
Johnson & Johnson	21891	USA, India, Europe
Johnson Controls	5313	USA, India, Europe
Journal Communications	26686	Europe, India, Australia
J. P. Morgan Chase and Co.	9680	Japan, China, Europe
J. C. Penny	19986	Australia
KBR	26698	USA, India, Europe
KFC	4877	Europe, India, Australia
Kellogg Company	11160	USA, India, Europe
Kenexa Corporation	2847	Europe
Kenworth	18558	Japan, India, China
Kerr-McGee	29650	Europe, India, Australia
Kimberly-Clark	11225	USA, Japan
Kingston Technology	24447	Australia
Klipsch Audio Technologies	28345	China
Kmart	3340	USA, Japan
Koch Industries	16177	China
KPMG	19133	Europe, India, Australia
Kraft Foods	16594	Japan, China, Europe
Kroger	32487	Japan, China, Europe
Kohler Company	3915	Japan, China, Europe
Kurzweil Educational Systems	20425	India
Laserfiche	24304	India, Australia, Japan
LeapFrog Enterprises	3442	India
Lennox International	13298	Europe, India, Australia
Lexmark	24802	USA, India, Europe
The Liberty Corporation	14721	India, Australia, Japan
Limited Brands	4387	USA, Australia, China
LinkedIn	31560	USA, Australia, China
Liz Claiborne	6546	USA
Lowe's	25846	Japan
Lumencraft	29663	Japan, India, China
L.L.Bean	4732	Japan
L&L Hawaiian Barbecue	2990	Europe, India, Australia
Local Matters	23669	India
Lockheed Martin	18257	USA, Japan
Louisiana Pacific	5641	Australia
Lucasfilm	13927	USA, Australia, China
Lucas Oil	9067	India
Magnavox	30103	USA, Australia, China
Marantz	8194	Australia
Marathon Oil	8696	Japan, China, Europe
Marriott Corporation	1300	India, Australia, Japan
Mars Incorporated	32844	Europe
Marsh & McLennan	33866	Europe, India, Australia
Marshall Pottery	3999	Japan
Martel Communication	23034	India, Australia, Japan
Martha Stewart Living Omnimedia	21101	China
Martin Marietta Materials	14998	Japan, India, China
MasterCard	11942	India
Mattel	16898	India, Australia, Japan
Mauna Loa Macadamia Nut Corp.	6425	India
Maxtor Corporation	4031	USA, Japan
McCormick & Company	10135	China
McDonald's	23078	Europe, India, Australia
MCI Inc.	21973	Japan, India, China
McIlhenny Company	8438	Europe
Medimix International	11514	India, Australia, Japan
Meijer	21789	USA
Memorex	29177	USA, Japan
Merck and Company	17860	India, Australia, Japan
Mercury Marine	20412	USA, Japan
Microsoft	13946	India, Australia, Japan
Midway Games	29759	Japan
Midwest Communications	1132	USA
Miller Brewing	25705	USA, Australia, China
Minnesota IMPLAN Group	24787	Japan
Miro Technologies	30459	Japan, China, Europe
Monsanto Company	32437	USA, India, Europe
Morgan Stanley	15014	USA, Australia, China
Motorola	14351	India, Australia, Japan
Mozilla Foundation	13409	USA, Japan
MTX Audio	23854	India
Musco Lighting	28902	USA, Japan
Mutual of Omaha	13835	USA, Japan
Myspace	22023	Europe
Nabisco	7243	Europe
National Railway Equipment Company	22075	USA, Australia, China
Nationwide Insurance	26274	USA, Australia, China
NBC Universal	20233	India
NCR Corporation	7092	USA
NetApp	16292	USA, Japan
Netcordia	20995	USA
NetDNA	32026	Europe
Netgear	13789	Japan, India, China
NetZero	29593	Australia
New Balance	26613	USA, Australia, China
New Era Tickets	7579	Australia
News Corporation	28812	USA, India, Europe
Nike	3773	Europe, India, Australia
Nordstrom	3702	USA, India, Europe
Nortax	10276	China
Northrop Grumman	17869	Japan, India, China
Northwest Airlines	18575	Europe
Novell	7481	India
Novellus Systems	33544	India
Numark (DJ equipment)	14596	Europe, India, Australia
Nvidia	23210	Europe
Oberweis Dairy	26700	Australia
Ocean Spray	28777	Japan, China, Europe
OCZ Technology	30400	Australia
Office Depot	7406	Japan, China, Europe
Office Max	30407	Europe
Olan Mills, Inc.	18309	Europe
Omnicare	9302	India
Omni Group	7356	USA, Australia, China
ONEOK	16206	Australia
Onvia	28425	USA
Open Interface	5325	USA, Japan
OpenMarket Inc.	6128	Europe, India, Australia
Oreck Corporation	24066	USA, India, Europe
O'Reilly	6561	India
OPOWER	19163	USA, India, Europe
Oracle Corporation	25935	Japan, China, Europe
OSI Restaurant Partners	6976	USA, India, Europe
Overcast Media	11786	Australia
PACCAR	23487	Japan
Pacific Gas & Electric Company (PG&E)	32384	USA
PalmOne, Inc.	6274	Europe, India, Australia
PalmSource, Inc.	20450	China
Pantone	2505	Japan, China, Europe
Papa John's Pizza	16858	Europe, India, Australia
Paramount Pictures	31687	Japan, China, Europe
Paxton Media Group	20061	Japan
Payless ShoeSource	18784	USA, Australia, China
PC Power and Cooling	475	Australia
PepsiCo	23615	Japan, India, China
Perdue Farms	32177	USA
Peterbilt	2678	Japan, India, China
Pier 1 Imports	15014	Europe
Pilgrim's Pride	32325	Europe
Pinnacle Systems	8899	USA
Pizza Hut	21803	India
Pfizer	1718	USA
Plochman's	18255	India, Australia, Japan
Polaroid Corporation	725	China
Polaris Industries	6710	Japan, India, China
Popeyes Chicken & Biscuits	5171	Europe, India, Australia
Precision Castparts Corporation	7470	Japan, India, China
Price Waterhouse Coopers	25634	USA, Japan
Principal Financial Group	20161	USA, India, Europe
Procter & Gamble	2301	Japan, China, Europe
Progressive Corporation	14712	Australia
Publix	30681	USA, Japan
QCR Holdings	29333	Australia
Qpass	34954	Japan
Qualcomm	24815	Japan, China, Europe
Quanta Services	17347	India, Australia, Japan
Quantrix	9399	Japan, India, China
Quest Software	17791	China
QuickTrip	15951	India, Australia, Japan
Quincy Newspapers	21794	USA, India, Europe
QVC	23342	Europe
Qwest	11102	USA, Japan
Quiznos	16147	USA, Australia, China
RadioShack	3883	USA, Australia, China
Raytheon	14240	China
Rayovac	17321	China
RCA	19030	India, Australia, Japan
Red Hat	1482	India, Australia, Japan
Red River Broadcasting	28693	India
Rent-A-Wreck	6931	Japan, China, Europe
Renys	13685	USA, Japan
Regis Corporation	32471	Japan, China, Europe
Respironics, Inc.	8371	India
Rite Aid Corporation	5879	Japan, India, China
Riverdeep	10822	USA, India, Europe
Rockford Fosgate	2890	Europe, India, Australia
Rockstar Games	4235	Europe, India, Australia
Rockwell Automation	33033	Europe
Rockwell Collins	29555	Australia
Rollins Inc.	2417	Japan, China, Europe
Royal Caribbean International	18621	India
Russell Investment Group	8873	Japan, India, China
Russell Stovers	22482	India, Australia, Japan
Ryder System, Inc.	131	India
S3 Graphics	16247	USA, Japan
Safeco Corporation	11890	India
Safeway Inc.	10446	USA
Salary.com	15502	Australia
Salem Communications	10158	China
SanDisk	6014	USA, Japan
Sauer-Danfoss	15944	Europe
SBC Communications	2294	India, Australia, Japan
Schoep's Ice Cream	816	China
Science Applications International Corporation (SAIC)	7809	Japan, China, Europe
Seagate Technology	28977	India, Australia, Japan
Sears	31766	USA, Australia, China
Seattle's Best Coffee	30517	China
Service Corporation International (SCI)	9896	Australia
Sequoia Voting Systems	12656	Japan
Shirokiya	32589	Japan, India, China
Shure Incorporated	1079	China
Six Flags	4470	Europe, India, Australia
Silicon Graphics	9554	Japan, China, Europe
Silicon Image	27267	India, Australia, Japan
SkyWest Airlines	17120	India, Australia, Japan
Snap-on Tools	4723	Australia
Sonic Solutions	10992	Japan
Sony Pictures Entertainment	6960	India
Southern California Edison	9128	India
Southwest Airlines	31871	USA, Japan
Soyo Group	5332	China
Springfield Armory, Inc.	9381	USA, Australia, China
Sprint Nextel Corporation	7876	USA, India, Europe
Spanx	27815	USA, India, Europe
Spectrum Brands	15305	India
Spherion	23794	Japan
Staples, Inc.	16919	India, Australia, Japan
Starbucks	22204	USA, Australia, China
Starz	27377	USA, Japan
State Street Corporation	21736	Japan, China, Europe
Steinway & Sons	2456	Japan
Sterling Ledet & Associates, Inc.	22121	Japan, India, China
Sterling Commerce	19695	USA, Japan
Stewart-Warner	14588	USA
Storage Technology Corporation	16768	Europe
STX	4488	China
Subway	6399	USA, India, Europe
Sunny Delight Beverages	418	Europe, India, Australia
Sun Microsystems, Inc.	21871	USA
Sunoco	4089	USA, Australia, China
Supervalu	7725	USA, India, Europe
Sur La Table	17584	USA, India, Europe
Syntel	14813	India
Symantec	34959	USA, Japan
Taco Tico	22429	USA, India, Europe
Take-Two Interactive	14899	USA
Tanadgusix Corporation	15322	Japan, China, Europe
Target Corporation	18091	Europe, India, Australia
Tempur-Pedic	3101	USA, India, Europe
Tesla Motors	6755	India
Tesoro	24866	USA
Testor Corporation	1863	India, Australia, Japan
Texas Instruments	4218	India
Textron Inc.	4955	Japan
The Library Corporation (TLC)	4889	India
THQ	20391	USA
Time Warner Cable	5685	USA
Towers Perrin	32113	Australia
TransDigm Group	18787	USA
Transocean	10449	China
Trinity Industries Inc.	28414	Japan, China, Europe
Tropicana Products	18192	Japan
Triumph Group	29772	Japan, China, Europe
Tully's Coffee	18912	Japan
Tupperware Brands Corporation	4932	USA, Japan
Twitter	5075	Australia
Ubu Productions	27674	India
Ultimate Software	3519	Japan, China, Europe
Under Armour	18931	USA, Australia, China
Union Oil Company of California (Unocal)	7092	Japan, India, China
Union Pacific Railroad	18901	Japan, China, Europe
Unisys	1042	Europe, India, Australia
United Airlines	27251	India, Australia, Japan
United Parcel Service (UPS)	7009	China
United Technologies	3520	USA, Japan
Universal Studios	3884	USA, India, Europe
US Airways	28920	USA, Japan
U.S. Robotics	33141	China
UTStarcom	8699	Europe, India, Australia
United Services Automobile Association	28072	Europe
US Cellular	8040	India, Australia, Japan
U.S. Steel	18434	India, Australia, Japan
Uwajimaya	2103	China
Valero Energy Corporation	563	Australia
Vantec	27902	USA
The Vanguard Group	24201	India
Vaughan & Bushnell Manufacturing	14637	Europe, India, Australia
VECO Corporation	11070	USA
VF Corporation	20748	Europe
Lee (jeans)	34250	USA, India, Europe
Venus Swimwear	105	Europe
Verbatim Corporation	9990	Japan, India, China
Vertex Pharmaceuticals	10026	India
Victoria's Secret	19960	Europe, India, Australia
ViewSonic	25721	Japan
Vistikon	17928	Australia
VIZ Media	8047	USA, Japan
Vizio	3444	China
Vectren	29365	India
Verizon	14639	Japan, India, China
Verizon Wireless	26571	Japan, China, Europe
Vermeer Industries	34144	Australia
Viacom	6427	Europe
Visa Inc.	15634	Australia
Vivitar	18634	Japan, India, China
VMware	17665	USA, India, Europe
Vocera Communications	28532	USA, Australia, China
VonMaur	13667	India, Australia, Japan
Vulcan Corporation	33773	China
Wahl Clipper	32075	China
Washburn Guitars	8737	Europe, India, Australia
Walmart	19660	India, Australia, Japan
Walgreens	7496	India, Australia, Japan
Walt Disney Company	30079	Australia
Warner Bros. Entertainment	7758	Japan, China, Europe
Watco Companies	10145	USA, India, Europe
W.C. Bradley Co.	14193	USA, Australia, China
The Weinstein Company	7343	Europe, India, Australia
Welch's	17060	Japan, China, Europe
WellPoint	25667	India
Wells Fargo Bank, N.A.	11201	USA
Wendy's/Arby's Group	34955	Europe, India, Australia
Werner Enterprises	13951	Australia
W. R. Grace and Company	12425	Japan, China, Europe
Westat	925	USA, Japan
West Liberty Foods	10489	Japan, India, China
Western Digital	30043	USA, Japan
Westinghouse Digital LLC	14864	Japan
Whataburger	17787	USA, India, Europe
Wheeling-Pittsburgh Steel	6827	Japan
Whirlpool Corporation	21071	Japan, India, China
Winnebago Industries	31254	India, Australia, Japan
Wizards of the Coast	26610	Europe
Whole Foods Market	26231	Japan
W. L. Gore & Associates	19501	Japan
Gore-Tex	18982	Europe, India, Australia
World Airways	11288	Japan, India, China
World Financial Group	23648	Japan, India, China
WWE	18259	USA
Wynn Resorts	28050	Japan, China, Europe
Xerox	27916	USA
Xilinx	23279	USA, Australia, China
XPAC	8723	India, Australia, Japan
XPLANE	30140	USA
Yahoo!	16511	USA, Australia, China
YASH Technologies	29820	USA, Australia, China
YRC Worldwide Inc.	18916	India, Australia, Japan
Yum! Brands, Inc.	22784	China
Zapata	24102	Europe
Zappos.com	20932	USA, Australia, China
Zaxby's	32530	USA, Australia, China
Zenith Electronics	3307	India, Australia, Japan
ZOMM, LLC	13329	Europe, India, Australia
Zoo York	29964	India, Australia, Japan
Zoom Technologies	1767	USA
Zune	20246	USA
100 Grand	24473	USA, Australia, China
20th Century Fox	25334	India, Australia, Japan
24-Hour Fitness Center	29392	Japan, China, Europe
3 Musketeers	33321	USA
300	17282	India, Australia, Japan
361°	12284	Australia
365	13089	China
3M	15480	China
5	777	Europe
5 Second	11138	USA, Australia, China
5-Hour Energy	3838	Japan, China, Europe
501	29272	India
579	3799	USA
6YS	25917	Europe
7 For all Mankind	4891	India, Australia, Japan
7-Eleven	33818	Japan
7Up	25028	USA, Australia, China
84 Lumber	28322	India, Australia, Japan
85°C	3413	Japan, China, Europe
8th Continent Soymilk	32696	USA
9	25166	Japan
9-3	7771	USA, Australia, China
9-5	4660	USA, India, Europe
A&E	30052	India
A1 Steak Sauce	18840	India
A4	34021	India
A6	21548	India, Australia, Japan
AA Insurance	31224	USA, Japan
AAA	5611	India
AAA 01 Center WS	10126	India
AAdvantage	34422	USA, Australia, China
AB-inBev	3521	USA, Japan
ABB	34914	India
ABB Grain Limited	308	Japan, China, Europe
ABC	16273	Australia
ABC Learning	12775	Japan, India, China
ABN Amro	34794	Europe
ACE	23106	China
ADInstruments	8279	USA, Japan
AFLAC	31506	USA, India, Europe
AGL Energy	10698	USA, India, Europe
AIG	19920	USA, India, Europe
AIS	33984	Europe
AMG	1908	Japan
AMI	34301	Europe, India, Australia
AMP Limited	25872	USA, India, Europe
ANCA	20822	India, Australia, Japan
ANT1 Group	1848	USA, India, Europe
ASB	2133	Australia
ASM International	1091	USA
ASX	17425	USA, Japan
AT&T	3248	China
AWB Limited	18793	USA, Australia, China
AXA	1607	USA, India, Europe
Aalberts Industries	16628	USA
Aamco	21048	USA, Japan
Aavin	29446	India
Abbott Laboratories	17181	Australia
AbeBooks	2569	Europe, India, Australia
Abercrombie & Fitch	29867	Japan, China, Europe
About Us	18362	USA
Abreva	9150	China
Absolut	3596	Japan
Accell Group	4899	USA, India, Europe
Accent	1932	Japan
Accenture	12288	India
Accord	21794	USA
Accu-Chek	19381	Europe
Ace Hardware	28686	India, Australia, Japan
Ace Radio	28943	Europe, India, Australia
Acer	27177	Japan, India, China
Acesita	3777	Japan, China, Europe
Acindar SA	22886	China
Acne	15771	China
Aconquija Water	16687	Australia
Acrobat	7598	Europe
Acropolis Rally	15280	India, Australia, Japan
Acsa Argentina	7674	USA
Actimel	3796	Australia
Activia	31374	Europe, India, Australia
Acura	23424	India
Acuvue	3147	USA, India, Europe
Adam Internet	2749	Japan
Adecco	30913	Europe, India, Australia
Adidas	6911	USA, Australia, China
Adobe	11245	USA
Advair	9091	Japan
Advanced Auto Parts	24146	USA, India, Europe
Advantech	21033	Japan, China, Europe
Advil	15331	Australia
Aegean Airlines	4045	Japan, India, China
Aegon	5147	USA, Japan
Aerogard	7800	Japan, India, China
Aerolineas Argentinas	20480	China
Aeroplane Jelly	19895	India, Australia, Japan
Aeropostale	9046	India, Australia, Japan
Aerosoles	3936	China
Aerosonde Ltd	5212	Europe, India, Australia
Aetna	17538	China
Affin Bank	11787	India, Australia, Japan
Afrin	25422	USA
After Thoughts	29563	Japan, India, China
Agip	2242	USA, Australia, China
Agrale	7415	India
Agrichar	21652	Japan, India, China
Agricultural Bank of China	6120	USA, India, Europe
Aguas Cordobesas	31219	USA, India, Europe
Ahold	349	India
Air Australia	30808	Japan
Air Canada	33976	Japan
Air China	24890	USA
Air France	14377	India
Air India	23801	Japan, China, Europe
Air Jordan	3899	Europe, India, Australia
Air New Zealand	24191	Japan, China, Europe
AirAsia	18384	USA, Japan
AirElite	25989	China
AirTran	26972	India
Airbus	16765	India, Australia, Japan
Airtel	17871	India, Australia, Japan
Airwalk	10073	Europe
Aji Ichiban	19893	Japan, India, China
Ajinomoto	25196	Australia
Ajisen Ramen	30204	India
Akubra	18037	USA, Japan
AkzoNobel	27593	USA, India, Europe
Alamo	16986	China
Alamos	30195	Japan
Albert Heijn	15964	Japan, China, Europe
Albertsons	13434	USA, Australia, China
Alcan	674	India, Australia, Japan
Alcatel	34487	Australia
Alcoa	21993	Australia
Aldi	32428	Japan, India, China
Aleve	29826	Europe
Alexander Keith's Brewery	8948	India, Australia, Japan
Alfa Romeo	26050	USA, Australia, China
Alibaba	23858	China
Alinta Gas	15299	India, Australia, Japan
Alitalia	13003	USA
Ality	14291	USA, Japan
Alka-Seltzer	1382	Japan
Alkane Exploration	1704	Japan
All	6713	China
All Star	19947	USA, India, Europe
Allegra	3605	USA, Australia, China
Allens	34736	USA, Japan
Alliance Bank	19247	USA, Australia, China
Alliance Group	11324	Japan, India, China
Allianz	31379	Japan, India, China
Allphones	27235	India
Allplastics	25000	Japan, China, Europe
Allstate	15891	India, Australia, Japan
Allsteel	24182	Japan, India, China
Almay	5508	India, Australia, Japan
Almond Joy	26492	USA, Japan
Alpine Bau	2795	Japan, China, Europe
Alsa	8120	USA, Japan
Altima	27564	USA, Australia, China
Altium	33932	Australia
Altoids	20418	Australia
Altos Del Plata	9876	USA, Australia, China
Altria	17978	China
Altronics Australia	1090	India
Alumet	1760	Europe, India, Australia
Alumina Limited	24104	USA, Japan
Always	2664	Japan, India, China
AmBev	34581	Japan, India, China
Amana	10833	India, Australia, Japan
Amazon.com	12574	USA, India, Europe
Ambank	18161	China
Ambien	12485	Japan, China, Europe
Amcor	28256	USA, Japan
America Online	32844	Europe
American Airlines	13594	Japan, India, China
American Apparel	14653	USA, Japan
American Century	16021	USA, Australia, China
American Dairy Association	25504	Japan, India, China
American Express	8639	Japan, China, Europe
American Heart Association	25612	Japan, China, Europe
American Idol	26661	Europe
AmerisourceBergen	10035	Japan
Amgen	1715	USA, Japan
Amoco	5983	USA, Japan
Amoy Food	20894	USA, India, Europe
Amstel	17709	Europe
Amstel Light	12357	USA, Japan
Amtrak	7303	Japan, India, China
Amul	4853	India, Australia, Japan
AmÃ©rica Latina LogÃ­stica	16504	USA, Japan
Anchor	14329	China
Andrade Gutierrez	7302	Australia
Andritz	21818	Australia
Angel Soft	7227	Australia
Angus and Robertson	24090	India
Anheuser-Busch	9821	India
Ann Taylor	28833	USA, India, Europe
Anne Klein	20188	Japan, India, China
Annedd'ale	18894	Europe, India, Australia
Ansell	33078	USA
Anta	10651	China
Antarchile	34634	USA, Australia, China
Antarctica	8632	India
Antares	8085	Japan
Anthropologie	29346	USA, Australia, China
Antofagasta plc	6258	Japan
Anzco Foods	32316	USA, Australia, China
Apivit	34451	USA, India, Europe
Apivita	22778	India, Australia, Japan
Apollo	11962	USA, Australia, China
Apple	13444	Japan, India, China
Apple Jacks	8772	Japan, India, China
Applebee's	13921	USA, Japan
Appliances Online	5779	China
Aprilla	9229	Japan
Aqua Net	5404	Europe
Aquafina	9322	USA, India, Europe
Aquafresh	24116	USA
Aracruz Celulose	18550	USA
Aral	15904	USA, Australia, China
Aramark	30106	USA, India, Europe
Arby's	31064	Australia
Arcadis	23812	India, Australia, Japan
ArcelorMittal	2742	USA, Australia, China
Arcon	488	USA, Japan
Ariel	28254	USA, India, Europe
Arirang	27690	Japan, India, China
Aristocrat Leisure Limited	4641	Japan, China, Europe
Ariston	2162	India, Australia, Japan
Arla	19263	Europe, India, Australia
Arm & Hammer	32001	USA
Armada	26579	USA
Armani	23556	USA
Armol All	34273	India, Australia, Japan
Arnott's Biscuits Holdings	6047	USA, Japan
Art Institute International	28863	Australia
Arun	25958	USA, Japan
Ashley Furniture	34117	USA, Japan
Asiana Airlines	10403	China
Asics	30838	Japan
Aspirin	15613	Japan, China, Europe
Aston Martin	8552	Europe
Astra International	11519	USA
Astra Zeneca	3492	USA, India, Europe
AstralSat	5367	USA
Astro	7236	China
Asus	20515	USA, Japan
Atari	27944	China
Atkins	14726	Japan
Atlas Pacific Limited	8236	Japan, India, China
Auchan	2703	USA
Audi	2600	Australia
Aunt Jemima	162	Europe, India, Australia
Aura	19197	Japan
Aussie	34801	Australia
Austal Ships	16238	Japan
Austar	14565	Australia
Austcorp	15037	Japan
Austereo Radio Network	2099	Australia
Australia	3493	China
Australia Asia Airlines	11667	Europe, India, Australia
Australian	478	China
Australian Agricultural Company	32985	Japan, China, Europe
Australian Air Express	25835	Australia
Australian Biodiesel Group Limited	27944	Japan, China, Europe
Australian Defence Industries	28215	USA, Australia, China
Australian Ethanol Limited	10474	Japan
Australian Ethical Investment	5070	Japan, India, China
Australian Gas Light Company	292	India
Australian Healthcare Technology Limited	9557	India
Australian Railroad Group	13165	USA, Japan
Australian Securities Exchange	28946	USA, India, Europe
Australian Submarine Corporation	6034	USA, Japan
Austrend International	7859	India
Ausway	19324	USA, India, Europe
AutoTrader	26514	Japan
AutoZone	30387	China
Autogrill	20557	India
Avalanche	24757	China
Avalon	27791	India, Australia, Japan
Aveda	1665	USA, India, Europe
Aveeno	1274	USA, Japan
Avenger	23433	India
Aveo	24632	India
Avexa Limited	27761	USA, India, Europe
Avia	11307	Australia
Aviator	24907	Europe
AvibrÃ¡s	13800	Japan
Avis	31527	USA, Japan
Aviva	26143	Japan, China, Europe
Avon	14014	Japan, India, China
Avonmore	21178	USA, India, Europe
Axe	5081	Australia
Axis Bank	34559	USA, Japan
Azercell	31852	Japan
Azul Brazilian Airlines	23976	Australia
A|Wear	8221	India, Australia, Japan
B2W Varejo	25822	Japan, China, Europe
BAE Systems Australia	11482	Japan
BASDF SE	7313	Japan, China, Europe
BASF	13636	Europe, India, Australia
BBC	33658	Japan, India, China
BBVA	10413	USA, India, Europe
BCBG	5545	USA, Japan
BCE	17155	India, Australia, Japan
BCI-Banco Credito	11401	Europe
BHP Billiton	31101	Japan
BIC	3795	Australia
BM&F Bovespa	31004	Europe
BMW	10293	Europe
BNP Paribas	15441	USA, Australia, China
BOSE	11458	China
BOTOX	438	USA
BP	25316	USA, India, Europe
BPCL	23080	Japan
BYD	1088	Australia
Babcock & Brown	2910	Japan, China, Europe
Baby Bjorn	8948	USA, Australia, China
Baby Mild	10953	India
Baby Ruth	1578	Japan, India, China
BabyGap	12749	China
Bacardi	23708	Europe
Back to Basics	11951	Japan, India, China
Back to Nature	948	Japan, India, China
Baconator	21929	Japan, China, Europe
Badan Baden	19627	Japan, India, China
Badoit	12938	Europe
Bahama Breeze	33891	China
Baidu	24090	China
Baileys	27764	India
Bajaj	5622	China
Baker Hughes	5824	India
Bakers Delight	6261	Australia
Baker's Choice	13841	Japan, China, Europe
Baleno	25909	USA
Bally	33323	Europe
Bally Total Fitness	33014	Europe, India, Australia
Baloise	30486	Europe, India, Australia
Banana Boat	21086	Japan
Banana Republic	20566	Japan
Banco Frances SA	30415	USA, Australia, China
Banco Gradesco	23482	India, Australia, Japan
Banco Nossa Caixa	19836	USA, Japan
Banco Popular	9742	Japan
Banco Rio de la Plata SA	6230	Japan, China, Europe
Banco Safra	26561	Europe
Banco de Chile	24055	Europe
Banco de Galicia y Buenos Aires SA	34947	Australia
Banco de la Nacion Argentina	25357	Europe
Banco do Brasil	6398	USA
Band-Aid	28285	Europe
Banestes	34890	Japan
Bang & Olufsen	6797	Japan, China, Europe
Bank One	18253	China
Bank of America	7330	China
Bank of China	34036	Australia
Bank of Communications	17418	India
Bank of East Asia	19065	India
Bank of Greece	3647	Japan
Bank of Montreal	29647	Australia
Bank of Nova Scotia	9362	Japan, India, China
Bank of Queensland	33412	USA, Japan
Banrisul	22635	USA
Banyan Tree Holdings	22369	Japan, China, Europe
Barbie	24860	Europe
Barclays	3917	Europe
Bare Escentuals	16341	China
Barilla	15065	Australia
Barnes & Noble	26422	Australia
Baron Otard Cognacs	25984	USA, Australia, China
Barrick Gold	24259	USA
Barry's Tea	21716	Australia
Baskin-Robbins	31047	China
Bausch & Lomb	8369	Australia
Bavaria	32500	India, Australia, Japan
Baxter	23493	Europe
Bayer	26591	USA
Bazooka	26684	Japan
Bean Media Group	19813	USA
Beanie Babies	10941	USA, Japan
Beano	8176	Japan, India, China
Beaurepaires	20962	USA, Australia, China
Beaver Buzz	14107	Japan, China, Europe
Bebe	26576	India
Becker Entertainment	7120	Europe, India, Australia
Beck's	12826	India
Bed Head	19977	India
Bed, Bath & Beyond	29490	China
Beeline	9167	Japan, India, China
Beerenberg Farm	14795	Japan, India, China
Beetle	12324	India
Beiersdorf	1327	USA, Australia, China
Belco	33202	India
Belgacom	22059	Japan, China, Europe
Bell Atlantic	20784	India
Bellsouth	11671	USA, Australia, China
Ben & Jerry's	4997	India
Ben-Gay	29342	India
Benadryl	3321	USA, Australia, China
Bendigo Bank	19887	Europe, India, Australia
Benetton	30431	Europe, India, Australia
Benjamin Moore	31336	Japan, India, China
Bergstein Entertainment	16396	Japan, India, China
Berlei	9505	Japan, India, China
Bertolli	26047	Japan, India, China
Bertolli Olive Oil	25752	USA
Best Buy	27310	USA
Best Western	13013	USA, Japan
Betty Crocker	32936	India, Australia, Japan
Bianchi	3711	Europe
Bic	14145	USA
Big Bazaar	4853	Australia
Big Lots	22992	USA, Japan
Big M	27292	USA, Australia, China
Big Mac	13646	Australia
Big Rock Brewery	17783	Japan
Billabong	27896	China
Bimbo	25666	Japan
Biolage	32346	Europe
Biore	20962	Japan, China, Europe
Biosilk	23254	Japan
Biotech	18279	China
Birds Eye	9744	Japan, India, China
Birkenstock	18591	China
Bisquick	11683	Japan, China, Europe
Bissell	12672	Japan
Bitburger	320	Japan, China, Europe
BjÃ¶rn Borg	30773	Japan, India, China
Black Label	15990	Japan, India, China
BlackBerry	25902	Europe
Blackmore	4713	Japan
Blancpain	34872	China
Blaupunkt	9128	USA, Australia, China
Blistex	5074	USA, Japan
Blockbuster	12272	India
Blog	5693	USA, India, Europe
Bloomingdale's	19490	Europe, India, Australia
Blow Pop	15342	Japan
Blue	13120	USA, Japan
Blue Cross	890	India
Blue Dart	25473	China
Blue Ribbon	25938	Europe
Bluebird Foods	34304	China
Bluefish Communications	3525	USA, India, Europe
Bluescope	25715	USA
Blumarine	5138	Australia
Blundstone Footwear	11139	Japan, India, China
Boag's Brewery	3772	India, Australia, Japan
Bob the Builder	14077	India, Australia, Japan
Bobcat	16889	Japan
Bob's	22280	Europe, India, Australia
Boeing	28490	India
Boggle	14085	Japan
Bohae	15752	Europe, India, Australia
Bohemia	24034	USA
Bombardier	23762	USA
Bonanza	21385	Japan, India, China
Bonds	27657	India
Bonduelle	20961	USA
Bonia	33206	Europe
Bonne Bell	25910	Australia
Bonox	31428	USA, India, Europe
Book	9579	USA
Boomer	4638	USA, Japan
Boost Juice	16358	Europe
Boost Mobile	6180	Japan, China, Europe
Boots	32966	Australia
Boppy	22408	USA, Australia, China
Boral Limited	20416	Japan
Borders	24562	Japan
Borealis	28341	USA
Bosch	9041	Japan, India, China
Bossa Nova	2153	USA
Boston Market	10655	Japan, China, Europe
Boston Scientific	13249	USA, India, Europe
Bottega Veneta	17508	Japan
Boucheron	9811	USA, India, Europe
Bounty	30723	Japan
Bouygues Telecom	13844	Europe
Bowflex	12750	Japan, India, China
Boxster	4484	USA, Japan
Brabus	33307	Europe
Brach's	4484	India, Australia, Japan
Bradesco	33733	USA, Australia, China
Bradespar	2397	USA, India, Europe
Brahma	26880	Australia
Brambles Industries	34913	USA, Australia, China
Brand Architecture	17543	USA, Japan
Brand Name Research	28400	India, Australia, Japan
Brandchannel	30452	India, Australia, Japan
Brasil Foods	18700	Japan
Brasil Telecom	20901	Australia
Braskem	24316	India, Australia, Japan
Braun	2332	USA, Japan
Brava	31657	USA, Japan
Bravox	19243	India
Brawny	14166	Japan
BreadTalk Group	29157	India, Australia, Japan
Breitling	12108	Europe, India, Australia
Brennan's	6822	China
