Company Name,Status,User Email,conversion_probability
Highlander,New,Reply@Highlander.com,0.045
SuperAmerica,Warm ,Reply@SuperAmerica.com,0.045
Samby,In Progress,Reply@Samby.com,0.045
Eclipse,Contacted,Reply@Eclipse.com,0.045
Franprix,Nurturing,Reply@Franprix.com,0.044000000000000004
Sfakianakis,In Progress,Reply@Sfakianakis.com,0.04333333333333334
TDC,On-hold,Reply@TDC.com,0.04333333333333334
Cosmote,Contacted,Reply@Cosmote.com,0.04333333333333333
Yahtzee,Disqualified,Reply@Yahtzee.com,0.04
BIC,New,Reply@BIC.com,0.04
Pledge,Cold,Reply@Pledge.com,0.04
Oreck Corporation,Nurturing,Reply@Oreck Corporation.com,0.04
Epcot,Cold,Reply@Epcot.com,0.04
TV Cultura,Cold,Reply@TV Cultura.com,0.04
PlayStation,Nurturing,Reply@PlayStation.com,0.04
Maxi-Tech,New,Reply@Maxi-Tech.com,0.04
Xigmatek,Warm ,Reply@Xigmatek.com,0.04
Pizza 73,Disqualified,Reply@Pizza 73.com,0.04
Omnicare,On-hold,Reply@Omnicare.com,0.04
EnviroMission,Referral,Reply@EnviroMission.com,0.04
Plavix,Disqualified,Reply@Plavix.com,0.04
Ponto Frio,Contacted,Reply@Ponto Frio.com,0.04
Arctic Cat,Nurturing,Reply@Arctic Cat.com,0.04
Storage Technology Corporation,Proposal Sent,Reply@Storage Technology Corporation.com,0.04
Equinox,Qualified,Reply@Equinox.com,0.04
Tagline Development,Reengaged,Reply@Tagline Development.com,0.04
Full Color,Disqualified,Reply@Full Color.com,0.04
Quiznos,Disqualified,Reply@Quiznos.com,0.04
Sterling Commerce,In Progress,Reply@Sterling Commerce.com,0.04
Emu Brewery,Negotiation,Reply@Emu Brewery.com,0.04
PÃ£o de AÃ§Ãºcar,On-hold,Reply@PÃ£o de AÃ§Ãºcar.com,0.04
Prudential,Reengaged,Reply@Prudential.com,0.04
Fleet Farm,Reengaged,Reply@Fleet Farm.com,0.04
Apache Software Foundation,Closed-Lost,Reply@Apache Software Foundation.com,0.04
Product Naming,Referral,Reply@Product Naming.com,0.04
Taster's Choice,Warm ,Reply@Taster's Choice.com,0.04
Badoit,Disqualified,Reply@Badoit.com,0.04
JetBlue Airways,Closed-Lost,Reply@JetBlue Airways.com,0.04
Alladin Realty,Disqualified,Reply@Alladin Realty.com,0.04
Embraco,Reengaged,Reply@Embraco.com,0.04
Tabcorp Holdings,Disqualified,Reply@Tabcorp Holdings.com,0.04
Gauloises,Proposal Sent,Reply@Gauloises.com,0.04
Telecom Italia Mobile,Referral,Reply@Telecom Italia Mobile.com,0.04
Buena Vista Realty Service,In Progress,Reply@Buena Vista Realty Service.com,0.04
Express Merchant Service,Warm ,Reply@Express Merchant Service.com,0.04
Time Warner Cable,Proposal Sent,Reply@Time Warner Cable.com,0.04
Pantanal Linhas AÃ©reas,In Progress,Reply@Pantanal Linhas AÃ©reas.com,0.04
Panasonic,Negotiation,Reply@Panasonic.com,0.04
Palm,In Progress,Reply@Palm.com,0.04
Equifax,Referral,Reply@Equifax.com,0.04
PTT,Proposal Sent,Reply@PTT.com,0.04
Hamburger Helper,Closed-Lost,Reply@Hamburger Helper.com,0.04
Arby's,Closed-Lost,Reply@Arby's.com,0.04
Zaffari,Disqualified,Reply@Zaffari.com,0.04
Hanjin,Negotiation,Reply@Hanjin.com,0.04
PEZ,Cold,Reply@PEZ.com,0.04
Haribo,In Progress,Reply@Haribo.com,0.04
Overstock,New,Reply@Overstock.com,0.04
Hasbro,Referral,Reply@Hasbro.com,0.04
Airgas,Contacted,Reply@Airgas.com,0.04
Agilent Technologies,Qualified,Reply@Agilent Technologies.com,0.04
Antarchile,Cold,Reply@Antarchile.com,0.04
Hero Honda,Contacted,Reply@Hero Honda.com,0.04
Envirotecture Design,New,Reply@Envirotecture Design.com,0.04
Orange,Reengaged,Reply@Orange.com,0.04
Paper Mate,Reengaged,Reply@Paper Mate.com,0.04
Grape Nuts,Closed-Lost,Reply@Grape Nuts.com,0.04
Peugeot,Closed-Lost,Reply@Peugeot.com,0.04
Gradiente,Warm ,Reply@Gradiente.com,0.04
G2000,Referral,Reply@G2000.com,0.04
G6,New,Reply@G6.com,0.04
Telefonica de Argentina,Qualified,Reply@Telefonica de Argentina.com,0.04
Percocet,Nurturing,Reply@Percocet.com,0.04
Aveeno,Contacted,Reply@Aveeno.com,0.04
American Financial Group,Negotiation,Reply@American Financial Group.com,0.04
Carlton & United Breweries,Warm ,Reply@Carlton & United Breweries.com,0.04
Beetle,New,Reply@Beetle.com,0.04
eBay,Disqualified,Reply@eBay.com,0.04
Pentium,Closed-Lost,Reply@Pentium.com,0.04
Ausway,Warm ,Reply@Ausway.com,0.04
Pearson,On-hold,Reply@Pearson.com,0.04
Thales,Contacted,Reply@Thales.com,0.04
American Electric Power,Proposal Sent,Reply@American Electric Power.com,0.04
Pearl,Disqualified,Reply@Pearl.com,0.04
Monsource,Referral,Reply@Monsource.com,0.04
GlaxoSmithKline,Nurturing,Reply@GlaxoSmithKline.com,0.04
The Professional Couriers,Warm ,Reply@The Professional Couriers.com,0.04
Gol Transportes AÃ©reos,New,Reply@Gol Transportes AÃ©reos.com,0.04
Altria Group (formerly Philip Morris Companies),In Progress,Reply@Altria Group (formerly Philip Morris Companies).com,0.04
Gore-Tex,Warm ,Reply@Gore-Tex.com,0.04
Yellow Tail,Cold,Reply@Yellow Tail.com,0.04
E.Leclerc,Referral,Reply@E.Leclerc.com,0.04
Elantra,Warm ,Reply@Elantra.com,0.04
Honest Air Group,New,Reply@Honest Air Group.com,0.04
CDW,On-hold,Reply@CDW.com,0.04
CityRail,On-hold,Reply@CityRail.com,0.04
Colt's Manufacturing Company,Contacted,Reply@Colt's Manufacturing Company.com,0.04
Clarinex,Closed-Lost,Reply@Clarinex.com,0.04
Claritin,Disqualified,Reply@Claritin.com,0.04
Business Week,Referral,Reply@Business Week.com,0.04
Cococontacts Pty Ltd,Closed-Lost,Reply@Cococontacts Pty Ltd.com,0.04
Standard Chartered,Reengaged,Reply@Standard Chartered.com,0.04
Columbia Sussex,Nurturing,Reply@Columbia Sussex.com,0.04
Codan Limited,Nurturing,Reply@Codan Limited.com,0.04
Quiznos,Closed-Lost,Reply@Quiznos.com,0.04
Seagate Technology,Qualified,Reply@Seagate Technology.com,0.04
Signa Air,Negotiation,Reply@Signa Air.com,0.04
Conti,Reengaged,Reply@Conti.com,0.04
Cool Whip,In Progress,Reply@Cool Whip.com,0.04
Scholastic,Cold,Reply@Scholastic.com,0.04
Bubblicious,New,Reply@Bubblicious.com,0.04
Bubble Yum,Negotiation,Reply@Bubble Yum.com,0.04
Journal Communications,Negotiation,Reply@Journal Communications.com,0.04
Quest Software,Referral,Reply@Quest Software.com,0.04
Sticky Johnson,In Progress,Reply@Sticky Johnson.com,0.04
British Sky Broadcasting Group plc,New,Reply@British Sky Broadcasting Group plc.com,0.04
WigWam,Referral,Reply@WigWam.com,0.04
Bradley Pharmaceuticals,Referral,Reply@Bradley Pharmaceuticals.com,0.04
Corvette,Cold,Reply@Corvette.com,0.04
Casco Bay Lines,In Progress,Reply@Casco Bay Lines.com,0.04
SociÃ©tÃ© GÃ©nÃ©rale,Reengaged,Reply@SociÃ©tÃ© GÃ©nÃ©rale.com,0.04
Winterfresh,Qualified,Reply@Winterfresh.com,0.04
Cardinal Health,Reengaged,Reply@Cardinal Health.com,0.04
Chem-Dry,Cold,Reply@Chem-Dry.com,0.04
Safeway Inc.,Warm ,Reply@Safeway Inc..com,0.04
Smarties,On-hold,Reply@Smarties.com,0.04
Capezio,Qualified,Reply@Capezio.com,0.04
Cathay Pacific,Nurturing,Reply@Cathay Pacific.com,0.04
Integra Investment Plan,Proposal Sent,Reply@Integra Investment Plan.com,0.04
Canal Plus,Negotiation,Reply@Canal Plus.com,0.04
Atlas Architectural Designs,Disqualified,Reply@Atlas Architectural Designs.com,0.04
Shuanghui,Negotiation,Reply@Shuanghui.com,0.04
Cheap Monday,Disqualified,Reply@Cheap Monday.com,0.04
Spaceframe Construction & Engineering,Warm ,Reply@Spaceframe Construction & Engineering.com,0.04
Cheez-It,Disqualified,Reply@Cheez-It.com,0.04
SpaghettiOs,Closed-Lost,Reply@SpaghettiOs.com,0.04
Chiko Roll,On-hold,Reply@Chiko Roll.com,0.04
Sina,On-hold,Reply@Sina.com,0.04
Cadbury,Nurturing,Reply@Cadbury.com,0.04
Silver Fern Farms,Disqualified,Reply@Silver Fern Farms.com,0.04
Sidchrome,New,Reply@Sidchrome.com,0.04
Christian Dior,Qualified,Reply@Christian Dior.com,0.04
Brite,On-hold,Reply@Brite.com,0.04
Santander,Nurturing,Reply@Santander.com,0.04
El Corte InglÃ©s,Reengaged,Reply@El Corte InglÃ©s.com,0.04
Du Maurier,Closed-Lost,Reply@Du Maurier.com,0.04
Dish Network,Contacted,Reply@Dish Network.com,0.04
Doc Martin,In Progress,Reply@Doc Martin.com,0.04
Dereon,In Progress,Reply@Dereon.com,0.04
Dog Chow,Disqualified,Reply@Dog Chow.com,0.04
Avery Dennison,Negotiation,Reply@Avery Dennison.com,0.04
JN-International Medical Corporation,Negotiation,Reply@JN-International Medical Corporation.com,0.04
Architectural Genie,In Progress,Reply@Architectural Genie.com,0.04
Doux,Cold,Reply@Doux.com,0.04
Dramamine,Closed-Lost,Reply@Dramamine.com,0.04
Research in Motion,Reengaged,Reply@Research in Motion.com,0.04
Duraflame,On-hold,Reply@Duraflame.com,0.04
Rin,On-hold,Reply@Rin.com,0.04
Renault,Reengaged,Reply@Renault.com,0.04
Alladin's Lamp,Disqualified,Reply@Alladin's Lamp.com,0.04
Home Shopping Network,Warm ,Reply@Home Shopping Network.com,0.04
TAM Airlines,In Progress,Reply@TAM Airlines.com,0.04
Bic,On-hold,Reply@Bic.com,0.04
Red Robin,Proposal Sent,Reply@Red Robin.com,0.04
Easy Jet,New,Reply@Easy Jet.com,0.04
Bertolli Olive Oil,New,Reply@Bertolli Olive Oil.com,0.04
Benadryl,Cold,Reply@Benadryl.com,0.04
Ben & Jerry's,Nurturing,Reply@Ben & Jerry's.com,0.04
Xbox,Cold,Reply@Xbox.com,0.04
Dirt Devil,Referral,Reply@Dirt Devil.com,0.04
Santa Fe Provincial Water,In Progress,Reply@Santa Fe Provincial Water.com,0.04
XFX,New,Reply@XFX.com,0.04
Cottee's,New,Reply@Cottee's.com,0.04
Belk,Proposal Sent,Reply@Belk.com,0.04
Samsung,Cold,Reply@Samsung.com,0.04
Silicon Graphics,Warm ,Reply@Silicon Graphics.com,0.04
Crazy John's,Proposal Sent,Reply@Crazy John's.com,0.04
SkyWest Airlines,Contacted,Reply@SkyWest Airlines.com,0.04
Brasil Foods,Negotiation,Reply@Brasil Foods.com,0.04
Salvatore Ferragamo,Cold,Reply@Salvatore Ferragamo.com,0.04
Whirlpool,New,Reply@Whirlpool.com,0.04
Saint-Gobain S.A.,Reengaged,Reply@Saint-Gobain S.A..com,0.04
Bossa Nova,Warm ,Reply@Bossa Nova.com,0.04
Dickies,Contacted,Reply@Dickies.com,0.04
Baxter International,Reengaged,Reply@Baxter International.com,0.04
Boppy,In Progress,Reply@Boppy.com,0.04
DC Comics,Qualified,Reply@DC Comics.com,0.04
Royal Bank of Scotland,Qualified,Reply@Royal Bank of Scotland.com,0.04
Wheatables,Cold,Reply@Wheatables.com,0.04
Bonia,Closed-Lost,Reply@Bonia.com,0.04
Degree,Closed-Lost,Reply@Degree.com,0.04
Imation,New,Reply@Imation.com,0.04
Rodenbach,Warm ,Reply@Rodenbach.com,0.04
Ritz-Carlton,Qualified,Reply@Ritz-Carlton.com,0.04
Holsten,Reengaged,Reply@Holsten.com,0.04
Chrysler,Cold,Reply@Chrysler.com,0.04
Klabin,Qualified,Reply@Klabin.com,0.04
Twix,Warm ,Reply@Twix.com,0.04
London Fog,Reengaged,Reply@London Fog.com,0.04
Air France,Proposal Sent,Reply@Air France.com,0.04
Logitech,Referral,Reply@Logitech.com,0.04
Zapata,Reengaged,Reply@Zapata.com,0.04
Metro,In Progress,Reply@Metro.com,0.04
National Bank of Belgium,Proposal Sent,Reply@National Bank of Belgium.com,0.04
eBay,Disqualified,Reply@eBay.com,0.04
Corinthian Designs,Cold,Reply@Corinthian Designs.com,0.04
100 Grand,Proposal Sent,Reply@100 Grand.com,0.04
KPMG,Negotiation,Reply@KPMG.com,0.04
Miller Lite,Proposal Sent,Reply@Miller Lite.com,0.04
Kenworth,Referral,Reply@Kenworth.com,0.04
United Parcel Service (UPS),On-hold,Reply@United Parcel Service (UPS).com,0.04
Vivo,Disqualified,Reply@Vivo.com,0.04
Hasbro,Warm ,Reply@Hasbro.com,0.04
Plan Smart,In Progress,Reply@Plan Smart.com,0.04
Nerds,Closed-Lost,Reply@Nerds.com,0.04
Mentos,On-hold,Reply@Mentos.com,0.04
Alamo,Disqualified,Reply@Alamo.com,0.04
Alfa Romeo,Reengaged,Reply@Alfa Romeo.com,0.04
ItaÃº Unibanco,Referral,Reply@ItaÃº Unibanco.com,0.04
Ivory,Qualified,Reply@Ivory.com,0.04
JLeutenegger Pty Ltd,Cold,Reply@JLeutenegger Pty Ltd.com,0.04
Jaan Paan Liquer,In Progress,Reply@Jaan Paan Liquer.com,0.04
Lysol,In Progress,Reply@Lysol.com,0.04
Lunesta,Referral,Reply@Lunesta.com,0.04
JobStreet.com,Cold,Reply@JobStreet.com.com,0.04
Jaeger-Le Coultre,New,Reply@Jaeger-Le Coultre.com,0.04
Net,Contacted,Reply@Net.com,0.04
W. L. Gore & Associates,In Progress,Reply@W. L. Gore & Associates.com,0.04
KPMG,Contacted,Reply@KPMG.com,0.04
Gore-Tex,On-hold,Reply@Gore-Tex.com,0.04
Wealthy Ideas,On-hold,Reply@Wealthy Ideas.com,0.04
Harman International Industries,On-hold,Reply@Harman International Industries.com,0.04
Miu Miu,New,Reply@Miu Miu.com,0.04
Niederegger,Warm ,Reply@Niederegger.com,0.04
Zinifex Limited,Qualified,Reply@Zinifex Limited.com,0.04
Monterey,Closed-Lost,Reply@Monterey.com,0.04
Intercontinental Manufacturing Company,Warm ,Reply@Intercontinental Manufacturing Company.com,0.04
Land O'Lakes,Qualified,Reply@Land O'Lakes.com,0.04
Kotex,Negotiation,Reply@Kotex.com,0.04
Lancer,Referral,Reply@Lancer.com,0.04
Lakme,Closed-Lost,Reply@Lakme.com,0.04
Cut Rite Lawn Care,In Progress,Reply@Cut Rite Lawn Care.com,0.04
Kronenbier,Closed-Lost,Reply@Kronenbier.com,0.04
Aalberts Industries,Qualified,Reply@Aalberts Industries.com,0.04
Kuhne,Warm ,Reply@Kuhne.com,0.04
Lactalis,Reengaged,Reply@Lactalis.com,0.04
Kyobo,Contacted,Reply@Kyobo.com,0.04
Pro Yard Services,Qualified,Reply@Pro Yard Services.com,0.04
Lacoste,Disqualified,Reply@Lacoste.com,0.04
Vopak,Nurturing,Reply@Vopak.com,0.04
Pro Star,Proposal Sent,Reply@Pro Star.com,0.04
Pro Garden Management,Referral,Reply@Pro Garden Management.com,0.04
ABB Grain Limited,Nurturing,Reply@ABB Grain Limited.com,0.04
Acuvue,Closed-Lost,Reply@Acuvue.com,0.04
Lego,Qualified,Reply@Lego.com,0.04
Total Sources,Negotiation,Reply@Total Sources.com,0.04
Molson Canadian,On-hold,Reply@Molson Canadian.com,0.04
Total Serve,Referral,Reply@Total Serve.com,0.04
Adecco,Closed-Lost,Reply@Adecco.com,0.04
NFL,On-hold,Reply@NFL.com,0.04
Kids âRâ Us,Referral,Reply@Kids âRâ Us.com,0.04
Kleenex,New,Reply@Kleenex.com,0.04
Actimel,Cold,Reply@Actimel.com,0.04
Marsh & McLennan,Closed-Lost,Reply@Marsh & McLennan.com,0.04
A6,Proposal Sent,Reply@A6.com,0.04
Myer,Contacted,Reply@Myer.com,0.04
AAA,Proposal Sent,Reply@AAA.com,0.04
AAA 01 Center WS,On-hold,Reply@AAA 01 Center WS.com,0.04
Itaipava,Nurturing,Reply@Itaipava.com,0.04
Rivera Property Maintenance,Contacted,Reply@Rivera Property Maintenance.com,0.04
Norweigen Cruises,Contacted,Reply@Norweigen Cruises.com,0.04
Minnesota IMPLAN Group,Proposal Sent,Reply@Minnesota IMPLAN Group.com,0.04
MapQuest,Warm ,Reply@MapQuest.com,0.04
E-zhe Source,Reengaged,Reply@E-zhe Source.com,0.04
Nine West,Reengaged,Reply@Nine West.com,0.04
Olay,Disqualified,Reply@Olay.com,0.04
Hula-Hoop,New,Reply@Hula-Hoop.com,0.04
Bountiful Harvest Health Food Store,Disqualified,Reply@Bountiful Harvest Health Food Store.com,0.04
Malta,Disqualified,Reply@Malta.com,0.04
Humana,Contacted,Reply@Humana.com,0.04
Brilliant Home Designs,Qualified,Reply@Brilliant Home Designs.com,0.04
Norelco,Proposal Sent,Reply@Norelco.com,0.04
Vulcan Corporation,In Progress,Reply@Vulcan Corporation.com,0.04
Marlboro,In Progress,Reply@Marlboro.com,0.04
Edge Yard Service,Qualified,Reply@Edge Yard Service.com,0.04
MAN,Warm ,Reply@MAN.com,0.04
McDonald's,Referral,Reply@McDonald's.com,0.04
MaxMara,Cold,Reply@MaxMara.com,0.04
Miro Technologies,Disqualified,Reply@Miro Technologies.com,0.04
Trapiche Roble,Reengaged,Reply@Trapiche Roble.com,0.04
I Love Biscuits,Proposal Sent,Reply@I Love Biscuits.com,0.04
Illy,On-hold,Reply@Illy.com,0.04
Advance Auto Parts,Nurturing,Reply@Advance Auto Parts.com,0.04
Zara,Disqualified,Reply@Zara.com,0.04
Inxmail Australia Pty Limited,Negotiation,Reply@Inxmail Australia Pty Limited.com,0.04
Macleans,Cold,Reply@Macleans.com,0.04
Tupperware Brands Corporation,Nurturing,Reply@Tupperware Brands Corporation.com,0.04
IWC,Qualified,Reply@IWC.com,0.04
Nufarm,Reengaged,Reply@Nufarm.com,0.04
Alka-Seltzer,Qualified,Reply@Alka-Seltzer.com,0.04
Omni Tech,Reengaged,Reply@Omni Tech.com,0.04
Whataburger,Reengaged,Reply@Whataburger.com,0.0375
Klondike,Reengaged,Reply@Klondike.com,0.03671428571428571
Bare Escentuals,On-hold,Reply@Bare Escentuals.com,0.03666666666666667
Snapple,On-hold,Reply@Snapple.com,0.03666666666666667
Impala,Qualified,Reply@Impala.com,0.036000000000000004
The Flying Hippo,Contacted,Reply@The Flying Hippo.com,0.036000000000000004
Georgia-Pacific,In Progress,Reply@Georgia-Pacific.com,0.035
Control Data Corporation (CDC),New,Reply@Control Data Corporation (CDC).com,0.035
TOZ Rum,In Progress,Reply@TOZ Rum.com,0.035
UDL,New,Reply@UDL.com,0.035
Ultimate Software,Warm ,Reply@Ultimate Software.com,0.035
6YS,Nurturing,Reply@6YS.com,0.035
Victoria's Secret,Cold,Reply@Victoria's Secret.com,0.03333333333333333
Discover Financial Services,On-hold,Reply@Discover Financial Services.com,0.03266666666666666
Limited,Nurturing,Reply@Limited.com,0.0325
Fidelity Investments,New,Reply@Fidelity Investments.com,0.0325
Celcom,Disqualified,Reply@Celcom.com,0.03166666666666666
Butterball,Reengaged,Reply@Butterball.com,0.03166666666666666
Crunch ân Munch,On-hold,Reply@Crunch ân Munch.com,0.03
D-Link,Contacted,Reply@D-Link.com,0.03
Dick Smith Foods,Warm ,Reply@Dick Smith Foods.com,0.03
Rochefort,Disqualified,Reply@Rochefort.com,0.03
SQM,On-hold,Reply@SQM.com,0.03
Marriott,Qualified,Reply@Marriott.com,0.03
Deutsche Bank,In Progress,Reply@Deutsche Bank.com,0.03
Curves,Negotiation,Reply@Curves.com,0.03
Safeway,On-hold,Reply@Safeway.com,0.03
Snickers,Closed-Lost,Reply@Snickers.com,0.03
Celia,Negotiation,Reply@Celia.com,0.03
Progressive Corporation,Negotiation,Reply@Progressive Corporation.com,0.03
Asian Fusion,Cold,Reply@Asian Fusion.com,0.03
Maggi,Disqualified,Reply@Maggi.com,0.03
Sunny Real Estate Investments,Warm ,Reply@Sunny Real Estate Investments.com,0.03
Devassa,Proposal Sent,Reply@Devassa.com,0.03
Sunburst Garden Management,Negotiation,Reply@Sunburst Garden Management.com,0.03
Simple Solutions,Warm ,Reply@Simple Solutions.com,0.03
Asian Junction,In Progress,Reply@Asian Junction.com,0.03
Roxy,Disqualified,Reply@Roxy.com,0.03
SNS REAAL,Reengaged,Reply@SNS REAAL.com,0.03
Magnum,Contacted,Reply@Magnum.com,0.03
Days Inn,Qualified,Reply@Days Inn.com,0.03
DeBeers,In Progress,Reply@DeBeers.com,0.03
Smorgon Steel,In Progress,Reply@Smorgon Steel.com,0.03
Smith & Wesson,Nurturing,Reply@Smith & Wesson.com,0.03
Mariner,Negotiation,Reply@Mariner.com,0.03
Smirnoff,Reengaged,Reply@Smirnoff.com,0.03
Casio,Reengaged,Reply@Casio.com,0.03
Moschino,Proposal Sent,Reply@Moschino.com,0.03
Quickbiz,Qualified,Reply@Quickbiz.com,0.03
Le Monde,Warm ,Reply@Le Monde.com,0.03
Credit Mutual,Reengaged,Reply@Credit Mutual.com,0.03
Simply Appraisals,Proposal Sent,Reply@Simply Appraisals.com,0.03
Sistemos,Referral,Reply@Sistemos.com,0.03
Darden,Closed-Lost,Reply@Darden.com,0.03
Manwich,On-hold,Reply@Manwich.com,0.03
Smart Start,Disqualified,Reply@Smart Start.com,0.03
S. Pellegrino,Cold,Reply@S. Pellegrino.com,0.03
Wish-Bone,Negotiation,Reply@Wish-Bone.com,0.03
Motel 6,New,Reply@Motel 6.com,0.03
Daewoo,Qualified,Reply@Daewoo.com,0.03
Realty Solution,Cold,Reply@Realty Solution.com,0.03
Ball Corp.,Contacted,Reply@Ball Corp..com,0.03
Bealls,Negotiation,Reply@Bealls.com,0.03
Baker Hughes,Qualified,Reply@Baker Hughes.com,0.03
Magna Solution,Proposal Sent,Reply@Magna Solution.com,0.03
Benchmark Electronics,New,Reply@Benchmark Electronics.com,0.03
Moldcell,Disqualified,Reply@Moldcell.com,0.03
Clearasil,Proposal Sent,Reply@Clearasil.com,0.03
Maxwell House,New,Reply@Maxwell House.com,0.03
Knockout Kickboxing,Disqualified,Reply@Knockout Kickboxing.com,0.03
Melbourne IT,Proposal Sent,Reply@Melbourne IT.com,0.03
MECWA,In Progress,Reply@MECWA.com,0.03
Louis Vuitton,Nurturing,Reply@Louis Vuitton.com,0.03
Lazysize,New,Reply@Lazysize.com,0.03
Max Factor,Closed-Lost,Reply@Max Factor.com,0.03
Royal Caribbean International,In Progress,Reply@Royal Caribbean International.com,0.03
Co-op,On-hold,Reply@Co-op.com,0.03
Mercedez-Benz,Referral,Reply@Mercedez-Benz.com,0.03
Lolly Gobble Bliss Bombs,Disqualified,Reply@Lolly Gobble Bliss Bombs.com,0.03
Cocomat,Disqualified,Reply@Cocomat.com,0.03
Lokal,Cold,Reply@Lokal.com,0.03
Rite Aid,Referral,Reply@Rite Aid.com,0.03
Shane Co.,Nurturing,Reply@Shane Co..com,0.03
Rockstar Games,Proposal Sent,Reply@Rockstar Games.com,0.03
Mediobanca,Proposal Sent,Reply@Mediobanca.com,0.03
"Respironics, Inc.",In Progress,"Reply@Respironics, Inc..com",0.03
City Telecom,Proposal Sent,Reply@City Telecom.com,0.03
Cintra,In Progress,Reply@Cintra.com,0.03
China Telecom,Disqualified,Reply@China Telecom.com,0.03
Luzhou Laojiao,Disqualified,Reply@Luzhou Laojiao.com,0.03
Royal Gas,Contacted,Reply@Royal Gas.com,0.03
Cinnabon,Contacted,Reply@Cinnabon.com,0.03
Shivam Technologies,Qualified,Reply@Shivam Technologies.com,0.03
Boyd Gaming,Reengaged,Reply@Boyd Gaming.com,0.03
Maxxis,Proposal Sent,Reply@Maxxis.com,0.03
Sienna,On-hold,Reply@Sienna.com,0.03
Chocolates Garoto,Referral,Reply@Chocolates Garoto.com,0.03
LÃ¶wenbrÃ¤u,Nurturing,Reply@LÃ¶wenbrÃ¤u.com,0.03
Maybelline,In Progress,Reply@Maybelline.com,0.03
Codelco,Contacted,Reply@Codelco.com,0.03
BJ's Wholesale Club,Closed-Lost,Reply@BJ's Wholesale Club.com,0.03
Coles Group Lmt,Closed-Lost,Reply@Coles Group Lmt.com,0.03
Lik Sang,New,Reply@Lik Sang.com,0.03
Success Is Yours,Reengaged,Reply@Success Is Yours.com,0.03
Sam Adams,Disqualified,Reply@Sam Adams.com,0.03
Sam's Club,On-hold,Reply@Sam's Club.com,0.03
Leo Beer,Proposal Sent,Reply@Leo Beer.com,0.03
Sandvik,Proposal Sent,Reply@Sandvik.com,0.03
Minties,Referral,Reply@Minties.com,0.03
Libertad,Nurturing,Reply@Libertad.com,0.03
Chanel,In Progress,Reply@Chanel.com,0.03
Chang Beer,Negotiation,Reply@Chang Beer.com,0.03
Integra Wealth Planners,Warm ,Reply@Integra Wealth Planners.com,0.03
Milo,Cold,Reply@Milo.com,0.03
Berkshire Hathaway,Negotiation,Reply@Berkshire Hathaway.com,0.03
Quanta Services,In Progress,Reply@Quanta Services.com,0.03
Six Flags,Closed-Lost,Reply@Six Flags.com,0.03
Saturn,Cold,Reply@Saturn.com,0.03
BJ Services Company,Reengaged,Reply@BJ Services Company.com,0.03
Copacol,Negotiation,Reply@Copacol.com,0.03
Schick,Qualified,Reply@Schick.com,0.03
Lincoln Logs,In Progress,Reply@Lincoln Logs.com,0.03
Schindler,Cold,Reply@Schindler.com,0.03
Chaumet,Closed-Lost,Reply@Chaumet.com,0.03
Midea,New,Reply@Midea.com,0.03
Metrogames,Warm ,Reply@Metrogames.com,0.03
Conair,Negotiation,Reply@Conair.com,0.03
Biggby Coffee,Qualified,Reply@Biggby Coffee.com,0.03
Mastica,Referral,Reply@Mastica.com,0.03
Bio-Rad Laboratories,Warm ,Reply@Bio-Rad Laboratories.com,0.03
Cheerios,In Progress,Reply@Cheerios.com,0.03
Matebo,Cold,Reply@Matebo.com,0.03
Liberty Wealth Planners,Contacted,Reply@Liberty Wealth Planners.com,0.03
Labatt's,Closed-Lost,Reply@Labatt's.com,0.03
One-A-Day,Qualified,Reply@One-A-Day.com,0.03
Motta,Referral,Reply@Motta.com,0.03
Jeep,Referral,Reply@Jeep.com,0.03
GMAC,Contacted,Reply@GMAC.com,0.03
Nvidia,Reengaged,Reply@Nvidia.com,0.03
Gafisa,Qualified,Reply@Gafisa.com,0.03
Galbani,Contacted,Reply@Galbani.com,0.03
Gall & Gall,Disqualified,Reply@Gall & Gall.com,0.03
Neutrogena,Qualified,Reply@Neutrogena.com,0.03
Plan Future,In Progress,Reply@Plan Future.com,0.03
Personal & Corporate Design,Reengaged,Reply@Personal & Corporate Design.com,0.03
Nextel,Nurturing,Reply@Nextel.com,0.03
Geox,Closed-Lost,Reply@Geox.com,0.03
Pearl Vision,New,Reply@Pearl Vision.com,0.03
Novell,Closed-Lost,Reply@Novell.com,0.03
GlashÃ¼tte,Disqualified,Reply@GlashÃ¼tte.com,0.03
Iochpe-Maxion,Negotiation,Reply@Iochpe-Maxion.com,0.03
Patties Bakery,Qualified,Reply@Patties Bakery.com,0.03
Golden Grahams,In Progress,Reply@Golden Grahams.com,0.03
Netaid,Referral,Reply@Netaid.com,0.03
Netto,Warm ,Reply@Netto.com,0.03
Jeopardy!,Referral,Reply@Jeopardy!.com,0.03
RingkÃ¸bing Landbobank,On-hold,Reply@RingkÃ¸bing Landbobank.com,0.03
Monit,Warm ,Reply@Monit.com,0.03
Juicy Juice,Closed-Lost,Reply@Juicy Juice.com,0.03
Nature Valley,Contacted,Reply@Nature Valley.com,0.03
Juan Valdez CafÃ©,In Progress,Reply@Juan Valdez CafÃ©.com,0.03
Polar,Cold,Reply@Polar.com,0.03
Focus,Contacted,Reply@Focus.com,0.03
Jose Cuervo,Closed-Lost,Reply@Jose Cuervo.com,0.03
