Company,Days Since Last Feedback,Current Lead Status,Last Contact Date,Optimal Outreach Window,Recommended Action
Dominion Resources,225,Closed-Lost,2024-03-13,2024-12-12,Proactive outreach needed
Domtar,218,Proposal Sent,2024-03-18,2024-12-12,Proactive outreach needed
R. R. Donnelley & Sons,219,Disqualified,2024-02-09,2024-12-12,Proactive outreach needed
Dover Corporation,218,Closed-Lost,2024-01-20,2024-12-12,Proactive outreach needed
Dow Chemical Company,219,Qualified,2024-03-22,2024-12-12,Proactive outreach needed
Dow Jones & Company,219,In Progress,2024-02-25,2024-12-12,Proactive outreach needed
Dr Pepper Snapple Group,219,New,2024-02-16,2024-12-12,Proactive outreach needed
Dresser Inc.,220,Reengaged,2024-01-09,2024-12-12,Proactive outreach needed
DRS Technologies,218,Referral,2024-01-17,2024-12-12,Proactive outreach needed
DST Systems,224,New,2024-04-18,2024-12-12,Proactive outreach needed
DTE Energy,222,On-hold,2024-03-26,2024-12-12,Proactive outreach needed
Duke Energy,230,In Progress,2024-02-17,2024-12-12,Proactive outreach needed
Dun & Bradstreet,219,On-hold,2024-02-03,2024-12-12,Proactive outreach needed
DuPont (E.I. du Pont de Nemours),222,Warm ,2024-01-29,2024-12-12,Proactive outreach needed
DynCorp International,227,New,2024-03-16,2024-12-12,Proactive outreach needed
Dynegy,219,Qualified,2024-04-19,2024-12-12,Proactive outreach needed
Eastman Chemical Company,234,Closed-Lost,2024-02-28,2024-12-12,Proactive outreach needed
Eastman Kodak,219,Disqualified,2024-03-04,2024-12-12,Proactive outreach needed
eBay,219,Disqualified,2024-03-28,2024-12-12,Proactive outreach needed
Ecolab,220,Cold,2024-02-17,2024-12-12,Proactive outreach needed
Eddie Bauer,218,Qualified,2024-03-25,2024-12-12,Proactive outreach needed
El Paso Corp.,224,Closed-Won,2024-01-17,2024-12-12,Proactive outreach needed
Electric Boat,221,Contacted,2024-03-20,2024-12-12,Proactive outreach needed
Electronic Arts,219,Proposal Sent,2024-03-23,2024-12-12,Proactive outreach needed
Electronic Data Systems,226,Referral,2024-04-22,2024-12-12,Proactive outreach needed
Eli Lilly and Company,218,Nurturing,2024-01-20,2024-12-12,Proactive outreach needed
Elizabeth Arden,218,Qualified,2024-04-02,2024-12-12,Proactive outreach needed
EMC Corporation,220,Nurturing,2024-04-24,2024-12-12,Proactive outreach needed
Emcor,221,Nurturing,2024-02-22,2024-12-12,Proactive outreach needed
Emerson Electric Company,220,New,2024-04-09,2024-12-12,Proactive outreach needed
Emerson Radio,219,Cold,2024-04-05,2024-12-12,Proactive outreach needed
Energizer Holdings,221,Closed-Lost,2024-03-20,2024-12-12,Proactive outreach needed
Energy East,219,Contacted,2024-03-03,2024-12-12,Proactive outreach needed
Enterasys Networks,218,Referral,2024-03-09,2024-12-12,Proactive outreach needed
Entergy,219,Contacted,2024-04-13,2024-12-12,Proactive outreach needed
Enterprise GP Holdings,218,Disqualified,2024-04-07,2024-12-12,Proactive outreach needed
Equifax,220,Referral,2024-03-09,2024-12-12,Proactive outreach needed
Erie Insurance Group,219,Closed-Lost,2024-02-16,2024-12-12,Proactive outreach needed
Esselte,219,Proposal Sent,2024-01-03,2024-12-12,Proactive outreach needed
Estée Lauder Companies,218,Qualified,2024-01-08,2024-12-12,Proactive outreach needed
Eureka,218,Qualified,2024-01-02,2024-12-12,Proactive outreach needed
Exelon Corporation,227,Contacted,2024-04-15,2024-12-12,Proactive outreach needed
Expeditors International,224,On-hold,2024-01-29,2024-12-12,Proactive outreach needed
Express Scripts Incorporated,219,Nurturing,2024-01-07,2024-12-12,Proactive outreach needed
ExxonMobil,219,Referral,2024-01-09,2024-12-12,Proactive outreach needed
Fabrik Inc.,219,Nurturing,2024-04-12,2024-12-12,Proactive outreach needed
facebook,219,Disqualified,2024-02-14,2024-12-12,Proactive outreach needed
Fairchild Semiconductor,227,Referral,2024-03-23,2024-12-12,Proactive outreach needed
FedEx,218,Nurturing,2024-03-07,2024-12-12,Proactive outreach needed
Fender Musical Instruments Corporation,218,Nurturing,2024-02-12,2024-12-12,Proactive outreach needed
Fidelity Investments,227,New,2024-04-10,2024-12-12,Proactive outreach needed
"FileMaker Inc., formerly Claris Corp.",237,Closed-Won,2024-02-05,2024-12-12,Proactive outreach needed
Firestone Tire and Rubber Company,219,Qualified,2024-01-18,2024-12-12,Proactive outreach needed
First Hawaiian Bank,223,Referral,2024-01-10,2024-12-12,Proactive outreach needed
Fiserv,222,Proposal Sent,2024-04-23,2024-12-12,Proactive outreach needed
Fisher Electronics,223,Contacted,2024-01-28,2024-12-12,Proactive outreach needed
Fisker Automotive,230,Qualified,2024-02-09,2024-12-12,Proactive outreach needed
Fluor Corp,220,On-hold,2024-02-05,2024-12-12,Proactive outreach needed
Ford Motor Company,218,Reengaged,2024-02-24,2024-12-12,Proactive outreach needed
Forum Communications,224,Contacted,2024-01-20,2024-12-12,Proactive outreach needed
Fox Film Corporation,219,On-hold,2024-03-26,2024-12-12,Proactive outreach needed
Frasca International,218,Qualified,2024-04-28,2024-12-12,Proactive outreach needed
"Fred Meyer, Inc.",218,Contacted,2024-04-17,2024-12-12,Proactive outreach needed
FreeWave Technologies,221,Closed-Lost,2024-02-13,2024-12-12,Proactive outreach needed
Fresh&Easy Neighbourhood Market,219,Warm ,2024-04-26,2024-12-12,Proactive outreach needed
Frontier Airlines,223,Proposal Sent,2024-03-08,2024-12-12,Proactive outreach needed
Fruit of the Loom,220,Reengaged,2024-01-10,2024-12-12,Proactive outreach needed
Federal Home Loan Mortgage Corporation,219,Qualified,2024-01-28,2024-12-12,Proactive outreach needed
Federal National Mortgage Association,222,Disqualified,2024-04-25,2024-12-12,Proactive outreach needed
Gap,220,In Progress,2024-03-06,2024-12-12,Proactive outreach needed
Garmin,218,Reengaged,2024-02-23,2024-12-12,Proactive outreach needed
Gartner,221,Reengaged,2024-01-03,2024-12-12,Proactive outreach needed
Gateway Computers,218,Referral,2024-01-26,2024-12-12,Proactive outreach needed
Gatorade,218,Proposal Sent,2024-01-06,2024-12-12,Proactive outreach needed
GEICO,221,Closed-Lost,2024-02-06,2024-12-12,Proactive outreach needed
Gemini Sound Products,219,Closed-Lost,2024-04-26,2024-12-12,Proactive outreach needed
General Communication,221,Contacted,2024-04-27,2024-12-12,Proactive outreach needed
General Dynamics,221,Nurturing,2024-01-25,2024-12-12,Proactive outreach needed
General Electric,218,Qualified,2024-03-18,2024-12-12,Proactive outreach needed
GE Consumer & Industrial,225,Closed-Won,2024-03-07,2024-12-12,Proactive outreach needed
General Mills,220,Warm ,2024-02-25,2024-12-12,Proactive outreach needed
General Motors,218,Disqualified,2024-01-23,2024-12-12,Proactive outreach needed
Gentiva Health Services,220,Closed-Lost,2024-04-26,2024-12-12,Proactive outreach needed
Georgia Pacific,222,In Progress,2024-02-27,2024-12-12,Proactive outreach needed
GTECH,218,Referral,2024-02-23,2024-12-12,Proactive outreach needed
Giant Food,221,Qualified,2024-03-16,2024-12-12,Proactive outreach needed
Gibson Guitar Corporation,220,Proposal Sent,2024-02-21,2024-12-12,Proactive outreach needed
Gillette (brand),219,New,2024-04-12,2024-12-12,Proactive outreach needed
GHD Inc.,229,In Progress,2024-04-23,2024-12-12,Proactive outreach needed
Global Insight,221,Referral,2024-04-29,2024-12-12,Proactive outreach needed
Go Daddy,218,Negotiation,2024-03-06,2024-12-12,Proactive outreach needed
Goldman Sachs,220,Proposal Sent,2024-02-11,2024-12-12,Proactive outreach needed
Goodrich Corporation,221,On-hold,2024-01-24,2024-12-12,Proactive outreach needed
Goodyear Tire and Rubber Company,223,On-hold,2024-03-21,2024-12-12,Proactive outreach needed
Google,221,Closed-Won,2024-02-05,2024-12-12,Proactive outreach needed
Ground Round,219,Nurturing,2024-02-07,2024-12-12,Proactive outreach needed
Group O,222,Proposal Sent,2024-03-06,2024-12-12,Proactive outreach needed
Growmark,221,On-hold,2024-02-14,2024-12-12,Proactive outreach needed
H&R Block,219,In Progress,2024-04-11,2024-12-12,Proactive outreach needed
Hallmark Cards,242,In Progress,2024-02-21,2024-12-12,Proactive outreach needed
Halliburton,219,Closed-Lost,2024-01-01,2024-12-12,Proactive outreach needed
Hardee's,223,Cold,2024-02-21,2024-12-12,Proactive outreach needed
Harley-Davidson,221,Reengaged,2024-03-19,2024-12-12,Proactive outreach needed
Harman International Industries,219,On-hold,2024-03-08,2024-12-12,Proactive outreach needed
Hasbro,222,Warm ,2024-01-11,2024-12-12,Proactive outreach needed
Hastings Entertainment,224,Nurturing,2024-04-21,2024-12-12,Proactive outreach needed
Hawaiian Airlines,224,Referral,2024-04-22,2024-12-12,Proactive outreach needed
H-E-B,218,Closed-Lost,2024-03-27,2024-12-12,Proactive outreach needed
The Hertz Corporation,222,Negotiation,2024-04-23,2024-12-12,Proactive outreach needed
Hewlett-Packard,219,Cold,2024-02-14,2024-12-12,Proactive outreach needed
Hi-Point Firearms,221,Qualified,2024-02-25,2024-12-12,Proactive outreach needed
Hilton Hotels Corporation,221,Closed-Lost,2024-01-05,2024-12-12,Proactive outreach needed
H. J. Heinz Company,232,Cold,2024-04-18,2024-12-12,Proactive outreach needed
Home City Ice Co.,220,On-hold,2024-01-09,2024-12-12,Proactive outreach needed
Home Depot,221,Warm ,2024-02-22,2024-12-12,Proactive outreach needed
Honeywell,220,Nurturing,2024-03-10,2024-12-12,Proactive outreach needed
Hornbeck Offshore Services,218,Proposal Sent,2024-01-18,2024-12-12,Proactive outreach needed
Hot Topic,224,Proposal Sent,2024-01-12,2024-12-12,Proactive outreach needed
Houchens Industries,219,Referral,2024-01-01,2024-12-12,Proactive outreach needed
Houlihan's,222,Closed-Won,2024-01-02,2024-12-12,Proactive outreach needed
Human Kinetics,223,Qualified,2024-02-03,2024-12-12,Proactive outreach needed
Hunt Petroleum,218,Negotiation,2024-03-03,2024-12-12,Proactive outreach needed
Hyland Software,227,Cold,2024-04-05,2024-12-12,Proactive outreach needed
Ideal Industries,218,Nurturing,2024-04-23,2024-12-12,Proactive outreach needed
Imation,225,New,2024-04-21,2024-12-12,Proactive outreach needed
Informix,220,Closed-Lost,2024-01-26,2024-12-12,Proactive outreach needed
Infor,223,Contacted,2024-03-31,2024-12-12,Proactive outreach needed
Intel,218,In Progress,2024-03-11,2024-12-12,Proactive outreach needed
Intercontinental Manufacturing Company,230,Warm ,2024-02-23,2024-12-12,Proactive outreach needed
International Business Machines (IBM),220,On-hold,2024-02-08,2024-12-12,Proactive outreach needed
International Game Technology (IGT),220,Nurturing,2024-03-28,2024-12-12,Proactive outreach needed
International Paper,221,Warm ,2024-01-18,2024-12-12,Proactive outreach needed
Interplay Entertainment,224,Closed-Lost,2024-02-13,2024-12-12,Proactive outreach needed
Interstate Batteries,220,Qualified,2024-01-31,2024-12-12,Proactive outreach needed
Intuit,218,Referral,2024-03-07,2024-12-12,Proactive outreach needed
ION Media Networks,230,Reengaged,2024-03-30,2024-12-12,Proactive outreach needed
iRobot,218,New,2024-03-13,2024-12-12,Proactive outreach needed
Iron Mountain,219,Warm ,2024-04-24,2024-12-12,Proactive outreach needed
i-flex Solutions,222,Cold,2024-02-19,2024-12-12,Proactive outreach needed
Jack in the Box,218,New,2024-03-28,2024-12-12,Proactive outreach needed
Jarden,219,Referral,2024-04-28,2024-12-12,Proactive outreach needed
JCPenney,222,Cold,2024-04-15,2024-12-12,Proactive outreach needed
JetBlue Airways,218,Closed-Lost,2024-04-20,2024-12-12,Proactive outreach needed
Jimmy John's,219,Cold,2024-03-14,2024-12-12,Proactive outreach needed
JL Audio,222,Disqualified,2024-02-24,2024-12-12,Proactive outreach needed
JN-International Medical Corporation,218,Negotiation,2024-02-12,2024-12-12,Proactive outreach needed
Jones Soda Co.,218,Qualified,2024-04-23,2024-12-12,Proactive outreach needed
Johnson & Johnson,220,Negotiation,2024-01-26,2024-12-12,Proactive outreach needed
Johnson Controls,221,Contacted,2024-01-23,2024-12-12,Proactive outreach needed
Journal Communications,218,Negotiation,2024-02-24,2024-12-12,Proactive outreach needed
J. P. Morgan Chase and Co.,228,Referral,2024-04-07,2024-12-12,Proactive outreach needed
J. C. Penny,225,Proposal Sent,2024-02-06,2024-12-12,Proactive outreach needed
KBR,223,Closed-Won,2024-02-23,2024-12-12,Proactive outreach needed
KFC,218,New,2024-03-24,2024-12-12,Proactive outreach needed
Kellogg Company,225,Nurturing,2024-04-15,2024-12-12,Proactive outreach needed
Kenexa Corporation,226,Reengaged,2024-03-25,2024-12-12,Proactive outreach needed
Kenworth,218,Referral,2024-02-13,2024-12-12,Proactive outreach needed
Kerr-McGee,223,In Progress,2024-01-06,2024-12-12,Proactive outreach needed
Kimberly-Clark,219,Closed-Won,2024-02-18,2024-12-12,Proactive outreach needed
Kingston Technology,218,Disqualified,2024-01-11,2024-12-12,Proactive outreach needed
Klipsch Audio Technologies,242,Closed-Lost,2024-01-23,2024-12-12,Proactive outreach needed
Kmart,224,Qualified,2024-02-07,2024-12-12,Proactive outreach needed
Koch Industries,221,Proposal Sent,2024-02-08,2024-12-12,Proactive outreach needed
KPMG,219,Contacted,2024-04-19,2024-12-12,Proactive outreach needed
Kraft Foods,219,Closed-Won,2024-04-30,2024-12-12,Proactive outreach needed
Kroger,218,Warm ,2024-02-04,2024-12-12,Proactive outreach needed
Kohler Company,223,Negotiation,2024-03-29,2024-12-12,Proactive outreach needed
Kurzweil Educational Systems,220,Warm ,2024-04-13,2024-12-12,Proactive outreach needed
Laserfiche,223,In Progress,2024-01-21,2024-12-12,Proactive outreach needed
LeapFrog Enterprises,221,Closed-Lost,2024-01-21,2024-12-12,Proactive outreach needed
Lennox International,218,In Progress,2024-03-22,2024-12-12,Proactive outreach needed
Lexmark,228,In Progress,2024-04-06,2024-12-12,Proactive outreach needed
The Liberty Corporation,225,In Progress,2024-01-09,2024-12-12,Proactive outreach needed
Limited Brands,219,Closed-Won,2024-03-07,2024-12-12,Proactive outreach needed
LinkedIn,220,Closed-Lost,2024-04-29,2024-12-12,Proactive outreach needed
Liz Claiborne,218,Closed-Lost,2024-01-01,2024-12-12,Proactive outreach needed
Lowe's,218,In Progress,2024-03-17,2024-12-12,Proactive outreach needed
Lumencraft,223,Cold,2024-04-09,2024-12-12,Proactive outreach needed
L.L.Bean,219,Negotiation,2024-04-12,2024-12-12,Proactive outreach needed
L&L Hawaiian Barbecue,219,Nurturing,2024-01-15,2024-12-12,Proactive outreach needed
Local Matters,219,Nurturing,2024-04-16,2024-12-12,Proactive outreach needed
Lockheed Martin,218,Closed-Won,2024-03-17,2024-12-12,Proactive outreach needed
Louisiana Pacific,223,In Progress,2024-01-13,2024-12-12,Proactive outreach needed
Lucasfilm,224,Warm ,2024-02-03,2024-12-12,Proactive outreach needed
Lucas Oil,218,Closed-Lost,2024-01-04,2024-12-12,Proactive outreach needed
Magnavox,226,Referral,2024-03-01,2024-12-12,Proactive outreach needed
Marantz,226,Negotiation,2024-04-09,2024-12-12,Proactive outreach needed
Marathon Oil,218,Qualified,2024-02-20,2024-12-12,Proactive outreach needed
Marriott Corporation,219,Disqualified,2024-03-07,2024-12-12,Proactive outreach needed
Mars Incorporated,222,In Progress,2024-03-28,2024-12-12,Proactive outreach needed
Marsh & McLennan,229,Closed-Lost,2024-04-12,2024-12-12,Proactive outreach needed
Marshall Pottery,229,Closed-Lost,2024-01-12,2024-12-12,Proactive outreach needed
Martel Communication,220,New,2024-04-05,2024-12-12,Proactive outreach needed
Martha Stewart Living Omnimedia,220,Closed-Lost,2024-01-14,2024-12-12,Proactive outreach needed
Martin Marietta Materials,227,Closed-Won,2024-03-28,2024-12-12,Proactive outreach needed
MasterCard,220,On-hold,2024-02-03,2024-12-12,Proactive outreach needed
Mattel,222,Nurturing,2024-02-12,2024-12-12,Proactive outreach needed
Mauna Loa Macadamia Nut Corp.,219,Referral,2024-02-14,2024-12-12,Proactive outreach needed
Maxtor Corporation,218,New,2024-02-26,2024-12-12,Proactive outreach needed
McCormick & Company,218,New,2024-03-05,2024-12-12,Proactive outreach needed
McDonald's,219,Referral,2024-04-24,2024-12-12,Proactive outreach needed
MCI Inc.,221,Closed-Won,2024-01-05,2024-12-12,Proactive outreach needed
McIlhenny Company,218,Nurturing,2024-04-03,2024-12-12,Proactive outreach needed
Medimix International,219,Referral,2024-04-24,2024-12-12,Proactive outreach needed
Meijer,219,Disqualified,2024-02-16,2024-12-12,Proactive outreach needed
Memorex,218,New,2024-03-27,2024-12-12,Proactive outreach needed
Merck and Company,222,Cold,2024-03-22,2024-12-12,Proactive outreach needed
Mercury Marine,219,New,2024-04-22,2024-12-12,Proactive outreach needed
Microsoft,222,Referral,2024-01-06,2024-12-12,Proactive outreach needed
Midway Games,218,Disqualified,2024-01-11,2024-12-12,Proactive outreach needed
Midwest Communications,218,Closed-Lost,2024-04-17,2024-12-12,Proactive outreach needed
Miller Brewing,220,Warm ,2024-03-13,2024-12-12,Proactive outreach needed
Minnesota IMPLAN Group,218,Proposal Sent,2024-01-19,2024-12-12,Proactive outreach needed
Miro Technologies,224,Disqualified,2024-02-06,2024-12-12,Proactive outreach needed
Monsanto Company,219,Closed-Won,2024-03-01,2024-12-12,Proactive outreach needed
Morgan Stanley,222,Contacted,2024-03-24,2024-12-12,Proactive outreach needed
Motorola,221,Nurturing,2024-03-05,2024-12-12,Proactive outreach needed
Mozilla Foundation,220,Referral,2024-01-13,2024-12-12,Proactive outreach needed
MTX Audio,228,Closed-Lost,2024-03-25,2024-12-12,Proactive outreach needed
Musco Lighting,238,Proposal Sent,2024-04-17,2024-12-12,Proactive outreach needed
Mutual of Omaha,218,Warm ,2024-02-16,2024-12-12,Proactive outreach needed
Myspace,222,Closed-Won,2024-01-15,2024-12-12,Proactive outreach needed
Nabisco,219,On-hold,2024-02-06,2024-12-12,Proactive outreach needed
National Railway Equipment Company,218,Negotiation,2024-04-24,2024-12-12,Proactive outreach needed
Nationwide Insurance,218,Contacted,2024-01-12,2024-12-12,Proactive outreach needed
NBC Universal,219,Referral,2024-04-15,2024-12-12,Proactive outreach needed
NCR Corporation,220,Negotiation,2024-01-30,2024-12-12,Proactive outreach needed
NetApp,219,Closed-Won,2024-02-22,2024-12-12,Proactive outreach needed
Netcordia,228,Closed-Lost,2024-04-02,2024-12-12,Proactive outreach needed
NetDNA,220,Qualified,2024-03-24,2024-12-12,Proactive outreach needed
Netgear,218,Closed-Lost,2024-01-02,2024-12-12,Proactive outreach needed
NetZero,226,In Progress,2024-01-03,2024-12-12,Proactive outreach needed
New Balance,218,Referral,2024-01-12,2024-12-12,Proactive outreach needed
New Era Tickets,224,New,2024-02-26,2024-12-12,Proactive outreach needed
News Corporation,221,Cold,2024-03-30,2024-12-12,Proactive outreach needed
Nike,220,On-hold,2024-03-02,2024-12-12,Proactive outreach needed
Nordstrom,218,Closed-Lost,2024-03-23,2024-12-12,Proactive outreach needed
Nortax,219,Closed-Won,2024-02-25,2024-12-12,Proactive outreach needed
Northrop Grumman,218,Proposal Sent,2024-02-06,2024-12-12,Proactive outreach needed
Northwest Airlines,221,In Progress,2024-04-15,2024-12-12,Proactive outreach needed
Novell,222,Closed-Lost,2024-04-23,2024-12-12,Proactive outreach needed
Novellus Systems,219,New,2024-02-02,2024-12-12,Proactive outreach needed
Numark (DJ equipment),219,Referral,2024-04-29,2024-12-12,Proactive outreach needed
Nvidia,223,Reengaged,2024-01-15,2024-12-12,Proactive outreach needed
Oberweis Dairy,218,Negotiation,2024-01-15,2024-12-12,Proactive outreach needed
Ocean Spray,225,Nurturing,2024-03-31,2024-12-12,Proactive outreach needed
OCZ Technology,222,Nurturing,2024-02-05,2024-12-12,Proactive outreach needed
Office Depot,218,Disqualified,2024-04-20,2024-12-12,Proactive outreach needed
Office Max,223,Negotiation,2024-04-05,2024-12-12,Proactive outreach needed
"Olan Mills, Inc.",224,Warm ,2024-01-03,2024-12-12,Proactive outreach needed
Omnicare,218,On-hold,2024-03-03,2024-12-12,Proactive outreach needed
Omni Group,220,Nurturing,2024-01-11,2024-12-12,Proactive outreach needed
ONEOK,225,Warm ,2024-01-23,2024-12-12,Proactive outreach needed
Onvia,220,Closed-Won,2024-04-27,2024-12-12,Proactive outreach needed
Open Interface,222,Disqualified,2024-01-11,2024-12-12,Proactive outreach needed
OpenMarket Inc.,222,Warm ,2024-01-08,2024-12-12,Proactive outreach needed
Oreck Corporation,222,Nurturing,2024-02-17,2024-12-12,Proactive outreach needed
O'Reilly,218,On-hold,2024-04-13,2024-12-12,Proactive outreach needed
OPOWER,229,Contacted,2024-02-26,2024-12-12,Proactive outreach needed
Oracle Corporation,223,Proposal Sent,2024-04-19,2024-12-12,Proactive outreach needed
OSI Restaurant Partners,219,Nurturing,2024-01-04,2024-12-12,Proactive outreach needed
Overcast Media,228,Closed-Lost,2024-04-19,2024-12-12,Proactive outreach needed
PACCAR,222,Qualified,2024-01-15,2024-12-12,Proactive outreach needed
Pacific Gas & Electric Company (PG&E),219,On-hold,2024-04-01,2024-12-12,Proactive outreach needed
"PalmOne, Inc.",221,Contacted,2024-03-14,2024-12-12,Proactive outreach needed
"PalmSource, Inc.",218,Referral,2024-01-24,2024-12-12,Proactive outreach needed
Pantone,222,Proposal Sent,2024-03-16,2024-12-12,Proactive outreach needed
Papa John's Pizza,219,On-hold,2024-03-04,2024-12-12,Proactive outreach needed
Paramount Pictures,218,In Progress,2024-01-08,2024-12-12,Proactive outreach needed
Paxton Media Group,223,Disqualified,2024-02-06,2024-12-12,Proactive outreach needed
Payless ShoeSource,219,Reengaged,2024-01-11,2024-12-12,Proactive outreach needed
PC Power and Cooling,221,Cold,2024-01-31,2024-12-12,Proactive outreach needed
PepsiCo,227,Contacted,2024-04-10,2024-12-12,Proactive outreach needed
Perdue Farms,220,Warm ,2024-04-10,2024-12-12,Proactive outreach needed
Peterbilt,220,Closed-Lost,2024-02-15,2024-12-12,Proactive outreach needed
Pier 1 Imports,219,Warm ,2024-02-06,2024-12-12,Proactive outreach needed
Pilgrim's Pride,219,Closed-Lost,2024-04-04,2024-12-12,Proactive outreach needed
Pinnacle Systems,222,Qualified,2024-01-04,2024-12-12,Proactive outreach needed
Pizza Hut,218,Negotiation,2024-01-16,2024-12-12,Proactive outreach needed
Pfizer,219,Contacted,2024-03-19,2024-12-12,Proactive outreach needed
Plochman's,220,In Progress,2024-04-09,2024-12-12,Proactive outreach needed
Polaroid Corporation,219,On-hold,2024-03-12,2024-12-12,Proactive outreach needed
Polaris Industries,220,New,2024-02-21,2024-12-12,Proactive outreach needed
Popeyes Chicken & Biscuits,218,Closed-Won,2024-03-27,2024-12-12,Proactive outreach needed
Precision Castparts Corporation,218,Closed-Lost,2024-03-10,2024-12-12,Proactive outreach needed
Price Waterhouse Coopers,219,Nurturing,2024-03-05,2024-12-12,Proactive outreach needed
Principal Financial Group,219,Closed-Lost,2024-02-08,2024-12-12,Proactive outreach needed
Procter & Gamble,218,Warm ,2024-01-27,2024-12-12,Proactive outreach needed
Progressive Corporation,234,Negotiation,2024-01-30,2024-12-12,Proactive outreach needed
Publix,218,Proposal Sent,2024-03-02,2024-12-12,Proactive outreach needed
QCR Holdings,219,Qualified,2024-02-16,2024-12-12,Proactive outreach needed
Qpass,220,Warm ,2024-03-18,2024-12-12,Proactive outreach needed
Qualcomm,218,Nurturing,2024-02-14,2024-12-12,Proactive outreach needed
Quanta Services,225,In Progress,2024-02-14,2024-12-12,Proactive outreach needed
Quantrix,220,Closed-Won,2024-04-08,2024-12-12,Proactive outreach needed
Quest Software,223,Referral,2024-01-21,2024-12-12,Proactive outreach needed
QuickTrip,220,Closed-Lost,2024-01-08,2024-12-12,Proactive outreach needed
Quincy Newspapers,218,Contacted,2024-02-10,2024-12-12,Proactive outreach needed
QVC,222,Negotiation,2024-04-05,2024-12-12,Proactive outreach needed
Qwest,218,Disqualified,2024-01-31,2024-12-12,Proactive outreach needed
Quiznos,219,Closed-Lost,2024-04-20,2024-12-12,Proactive outreach needed
RadioShack,222,New,2024-01-04,2024-12-12,Proactive outreach needed
Raytheon,219,Proposal Sent,2024-01-05,2024-12-12,Proactive outreach needed
Rayovac,218,In Progress,2024-04-11,2024-12-12,Proactive outreach needed
RCA,220,Nurturing,2024-03-14,2024-12-12,Proactive outreach needed
Red Hat,221,Disqualified,2024-03-29,2024-12-12,Proactive outreach needed
Red River Broadcasting,219,Proposal Sent,2024-01-01,2024-12-12,Proactive outreach needed
Rent-A-Wreck,220,Cold,2024-04-29,2024-12-12,Proactive outreach needed
Renys,218,Qualified,2024-01-06,2024-12-12,Proactive outreach needed
Regis Corporation,229,Contacted,2024-02-23,2024-12-12,Proactive outreach needed
"Respironics, Inc.",218,In Progress,2024-04-19,2024-12-12,Proactive outreach needed
Rite Aid Corporation,225,Closed-Won,2024-04-13,2024-12-12,Proactive outreach needed
Riverdeep,225,Warm ,2024-04-16,2024-12-12,Proactive outreach needed
Rockford Fosgate,218,In Progress,2024-03-21,2024-12-12,Proactive outreach needed
Rockstar Games,228,Proposal Sent,2024-01-19,2024-12-12,Proactive outreach needed
Rockwell Automation,223,Referral,2024-04-13,2024-12-12,Proactive outreach needed
Rockwell Collins,218,Contacted,2024-02-25,2024-12-12,Proactive outreach needed
Rollins Inc.,223,Warm ,2024-03-19,2024-12-12,Proactive outreach needed
Royal Caribbean International,220,In Progress,2024-04-17,2024-12-12,Proactive outreach needed
Russell Investment Group,219,Referral,2024-01-05,2024-12-12,Proactive outreach needed
Russell Stovers,218,Qualified,2024-03-15,2024-12-12,Proactive outreach needed
"Ryder System, Inc.",221,In Progress,2024-03-25,2024-12-12,Proactive outreach needed
S3 Graphics,220,In Progress,2024-01-03,2024-12-12,Proactive outreach needed
Safeco Corporation,218,Closed-Lost,2024-01-31,2024-12-12,Proactive outreach needed
Safeway Inc.,224,Warm ,2024-02-26,2024-12-12,Proactive outreach needed
Salary.com,222,Negotiation,2024-03-26,2024-12-12,Proactive outreach needed
Salem Communications,218,Proposal Sent,2024-02-18,2024-12-12,Proactive outreach needed
SanDisk,218,Nurturing,2024-04-04,2024-12-12,Proactive outreach needed
Sauer-Danfoss,224,Closed-Lost,2024-04-23,2024-12-12,Proactive outreach needed
SBC Communications,218,Cold,2024-01-26,2024-12-12,Proactive outreach needed
Schoep's Ice Cream,232,Cold,2024-02-29,2024-12-12,Proactive outreach needed
Science Applications International Corporation (SAIC),218,Closed-Lost,2024-01-12,2024-12-12,Proactive outreach needed
Seagate Technology,222,Qualified,2024-01-03,2024-12-12,Proactive outreach needed
Sears,225,In Progress,2024-04-09,2024-12-12,Proactive outreach needed
Seattle's Best Coffee,222,In Progress,2024-04-29,2024-12-12,Proactive outreach needed
Service Corporation International (SCI),223,Negotiation,2024-02-02,2024-12-12,Proactive outreach needed
Sequoia Voting Systems,219,Referral,2024-03-19,2024-12-12,Proactive outreach needed
Shirokiya,226,Negotiation,2024-04-13,2024-12-12,Proactive outreach needed
Shure Incorporated,220,Qualified,2024-01-14,2024-12-12,Proactive outreach needed
Six Flags,221,Closed-Lost,2024-03-26,2024-12-12,Proactive outreach needed
Silicon Graphics,226,Warm ,2024-01-03,2024-12-12,Proactive outreach needed
Silicon Image,218,New,2024-01-19,2024-12-12,Proactive outreach needed
SkyWest Airlines,225,Contacted,2024-04-22,2024-12-12,Proactive outreach needed
Snap-on Tools,218,Warm ,2024-04-20,2024-12-12,Proactive outreach needed
Sonic Solutions,221,Cold,2024-03-27,2024-12-12,Proactive outreach needed
Sony Pictures Entertainment,220,On-hold,2024-03-09,2024-12-12,Proactive outreach needed
Southern California Edison,220,Disqualified,2024-03-23,2024-12-12,Proactive outreach needed
Southwest Airlines,218,Closed-Lost,2024-04-27,2024-12-12,Proactive outreach needed
Soyo Group,227,Contacted,2024-02-21,2024-12-12,Proactive outreach needed
